File Name | Primary Category | Secondary Tags
2020-Sana-Akbar-Khan---Influencing-the-disruptive-potential-of-sustainable-technologies.md | Uncategorized | 
2024-Jerome-L-Antonio---Enacting-disruption-in-entrepreneurial-ventures.md | Uncategorized | 
A-Framework-to-Manage-the-Early-Value-Proposition-of-Emerging-Healthcare-Technologies.md | Value Proposition Foundations | 
Algorithmic-Security-is-Insufficient.md | Uncategorized | 
Cisco-Unveils-Quantum-Networking-Lab-and-Entanglement-Source-Chip-Prototype-to-Enable-Scalable-Quantum-Data-Centers---Quantum-Computing-Report.md | Competitor Sources | partnership, technology-focus, market-insight
Cisco-s-New-Quantum-Entanglement-Chip-Aims-to-Accelerate-Distributed-Computing--MIT-Sloan-Management-Review-Middle-East.md | Competitor Sources | partnership, technology-focus, market-insight, case-study
Commercialization-of-disruptive-innovations.md | Uncategorized | 
Conceptualizing-and-communicating-value-in-business-markets.md | Uncategorized | 
Customer-Value-Propositions-in-Business-Markets.md | Value Proposition Foundations | 
Demystifying-the-Quantum-Threat-Infrastructure-Institutions-and-Intelligence-Advantage.md | Uncategorized | 
Design-and-Evaluation-of-a-Quantum-Resilient-Cryptographic-Framework-for-Enhancing-Security-and-Efficiency-in-Distributed-Cloud-Environments.md | Uncategorized | technology-focus
Experimental-quantum-secure-network-with-digital-signatures-and-encryption.md | Uncategorized | 
Hahn_et_al_TIMReview_December2014.md | Uncategorized | 
Navigating-quantum-security-risks-in-networked-environments.md | Quantum Security Industry Context | 
PQCAIE--Post-quantum-cryptographic-authentication-scheme-for-IoT-based-e-health-systems.md | Quantum Security Industry Context | technology-focus
Payne-Frow-2014-VP-deconstruction.md | Value Proposition Foundations | 
Post-Quantum-Security--Opportunities-and-Challenges.md | Quantum Security Industry Context | 
Quantum-Readiness-Best-Practices---v04---10-July-2024-2.md | Uncategorized | 
Quantum-Safe-Cryptography-for-Telecom-Networks--Implementing-Post-Quantum-Cryptography-Solutions-to-Protect-Telecom-Networks-Against-Future-Quantum-Computing-Threats.md | Quantum Security Industry Context | technology-focus
Quantum-Security-Analysis-of-AES.md | Quantum Security Industry Context | 
Quantum-safe-optical-networking-_-Nokia.md | Nokia-Specific Sources | partnership
Quantum-technologies-_-Nokia-com.md | Nokia-Specific Sources | partnership, technology-focus
Secure-and-Scalable-Quantum-Cryptographic-Algorithms-for-Next-Generation-Computer-Networks.md | Uncategorized | technology-focus
Security-in-quantum-cryptography.md | Quantum Security Industry Context | technology-focus
The-security-of-practical-quantum-key-distribution.md | Uncategorized | technology-focus
The_customer_value_proposition.md | Uncategorized | 
Thee-Race_Foreign-Affairs.md | Uncategorized | 
Toward-a-comprehensive-framework-of-value-proposition-development.md | Value Proposition Foundations | 
bohnsack-pinkse-2017-value-propositions-for-disruptive-technologies-reconfiguration-tactics-in-the-case-of-electric.md | Uncategorized | 
